id,c_rss_id,comment_id,issue_id,comment,sentence,author,tagged,isRelevant,label,isIssue,isAlternative,isPro,isCon,isDecision
1,145,15870,1738,"Hello Walter,
Which version of Ubuntu are you running?  Which version of WvDial
are you trying to install?","Hello Walter,
Which version of Ubuntu are you running?",Simon Law (sfllaw),NULL,0,NULL,0,0,0,0,0
2,146,15870,1738,"Hello Walter,
Which version of Ubuntu are you running?  Which version of WvDial
are you trying to install?","Which version of WvDial
are you trying to install?",Simon Law (sfllaw),NULL,0,NULL,0,0,0,0,0
3,147,15871,1738,"Saw the same thing just now. wvdialconf was trying to figure out what's behind my /dev/ttyS2.
What actually is behind that device is a Bluetooth adapter, which confused wvdialconf. So (according to strace) it did a bunch of strange things with that device, and then busy-waited forever in a select() loop.
This was a new edgy install.
It seems that wvdialconf needs a hard timeout, preferably in the shell script that calls it.",Saw the same thing just now.,Matthias Urlichs (smurf),NULL,0,NULL,0,0,0,0,0
4,148,15871,1738,"Saw the same thing just now. wvdialconf was trying to figure out what's behind my /dev/ttyS2.
What actually is behind that device is a Bluetooth adapter, which confused wvdialconf. So (according to strace) it did a bunch of strange things with that device, and then busy-waited forever in a select() loop.
This was a new edgy install.
It seems that wvdialconf needs a hard timeout, preferably in the shell script that calls it.",wvdialconf was trying to figure out what's behind my /dev/ttyS2.,Matthias Urlichs (smurf),NULL,1,issue,1,0,0,0,0
5,149,15871,1738,"Saw the same thing just now. wvdialconf was trying to figure out what's behind my /dev/ttyS2.
What actually is behind that device is a Bluetooth adapter, which confused wvdialconf. So (according to strace) it did a bunch of strange things with that device, and then busy-waited forever in a select() loop.
This was a new edgy install.
It seems that wvdialconf needs a hard timeout, preferably in the shell script that calls it.","What actually is behind that device is a Bluetooth adapter, which confused wvdialconf.",Matthias Urlichs (smurf),NULL,1,issue,1,0,0,0,0
6,150,15871,1738,"Saw the same thing just now. wvdialconf was trying to figure out what's behind my /dev/ttyS2.
What actually is behind that device is a Bluetooth adapter, which confused wvdialconf. So (according to strace) it did a bunch of strange things with that device, and then busy-waited forever in a select() loop.
This was a new edgy install.
It seems that wvdialconf needs a hard timeout, preferably in the shell script that calls it.","So (according to strace) it did a bunch of strange things with that device, and then busy-waited forever in a select() loop.",Matthias Urlichs (smurf),NULL,1,issue,1,0,0,0,0
7,151,15871,1738,"Saw the same thing just now. wvdialconf was trying to figure out what's behind my /dev/ttyS2.
What actually is behind that device is a Bluetooth adapter, which confused wvdialconf. So (according to strace) it did a bunch of strange things with that device, and then busy-waited forever in a select() loop.
This was a new edgy install.
It seems that wvdialconf needs a hard timeout, preferably in the shell script that calls it.",This was a new edgy install.,Matthias Urlichs (smurf),NULL,1,issue,1,0,0,0,0
8,152,15871,1738,"Saw the same thing just now. wvdialconf was trying to figure out what's behind my /dev/ttyS2.
What actually is behind that device is a Bluetooth adapter, which confused wvdialconf. So (according to strace) it did a bunch of strange things with that device, and then busy-waited forever in a select() loop.
This was a new edgy install.
It seems that wvdialconf needs a hard timeout, preferably in the shell script that calls it.","It seems that wvdialconf needs a hard timeout, preferably in the shell script that calls it.",Matthias Urlichs (smurf),NULL,1,alternative,0,1,0,0,0
9,153,15872,1738,"I got this when updating to 1.56-1.1ubuntu2 (feisty), because I'd been using my IRDA earlier, and left the ircom-tty module loaded.
A agree with Matthias - it seems that wvdialconf needs timeouts.","I got this when updating to 1.56-1.1ubuntu2 (feisty), because I'd been using my IRDA earlier, and left the ircom-tty module loaded.",Stefano Rivera (stefanor),NULL,1,issue,1,0,0,0,0
10,154,15872,1738,"I got this when updating to 1.56-1.1ubuntu2 (feisty), because I'd been using my IRDA earlier, and left the ircom-tty module loaded.
A agree with Matthias - it seems that wvdialconf needs timeouts.",A agree with Matthias - it seems that wvdialconf needs timeouts.,Stefano Rivera (stefanor),NULL,1,"alternative, pro",0,1,1,0,0
