id,title,count
44,"[LUCENE-7888] Test{Mixed,Binary}DocValuesUpdates.testManyReopensAndFields() failures",12
48,[LUCENE-7883] Remove references to Thread#getContextClassLoader() from Lucene/Solr codebase,7
147,[LUCENE-7755] Join queries should not reference IndexReaders.,6
258,[LUCENE-7631] Enforce javac warnings,7
273,[LUCENE-7615] SpanSynonymQuery,6
432,[LUCENE-7434] Add minNumberShouldMatch parameter to SpanNearQuery,24
463,[LUCENE-7401] BKDWriter should ensure all dimensions are indexed,8
508,[LUCENE-7352] TestSimpleExplanationsWithFillerDocs failures,6
509,[LUCENE-7351] BKDWriter should compress doc ids when all values in a block are the same,7
527,[LUCENE-7331] GeoPointTestQuery should use GeoTestUtil instead of GeoPointTestUtil,6
563,[LUCENE-7291] HeatmapFacetCounter bug with dateline and large non-point shapes,12
583,[LUCENE-7264] Fewer conditionals in DocIdSetBuilder.add,9
645,[LUCENE-7197] Geo3DPoint test failure,11
648,[LUCENE-7194] Ban Math.toRadians/toDegrees and remove all usages of it,24
749,[LUCENE-7085] PointRangeQuery.equals does not work,8
827,[LUCENE-6995] Add branch change trigger to common-build.xml to keep sane build on GIT branch change,19
920,[LUCENE-6894] Improve DISI.cost() by assuming independence for match probabilities,8
982,[LUCENE-6821] TermQuery's constructors should clone the incoming term,27
1102,[LUCENE-6680] BlendedInfixSuggester dedup bug,6
1136,[LUCENE-6641] Idea CodeSyle should be enriched,6
1229,[LUCENE-6542] FSDirectory throws AccessControlException unless you grant write access to the index,23
1244,[LUCENE-6526] Make AssertingWeight check that scores are not computed when needsScores is false,6
1347,[LUCENE-6413] Test runner should report the number of suites completed/ remaining,6
1354,[LUCENE-6405] BaseXXXFormatTestCase should test exception handling.,9
1370,[LUCENE-6388] Optimize SpanNearQuery,8
1422,[LUCENE-6329] Calling score() should be ok even if needsScores is false,6
1426,[LUCENE-6325] improve perf and memory of FieldInfos.fieldInfo(int),14
1444,[LUCENE-6304] Add MatchNoDocsQuery that matches no documents,16
1508,[LUCENE-6233] CheckIndex is dog slow when checking term vectors,9
1583,"[LUCENE-6149] Infix suggesters' highlighting, allTermsRequired options are hardwired and not configurable for non-contextual lookup",16
1611,[LUCENE-6119] Add auto-io-throttle to ConcurrentMergeScheduler,28
1683,[LUCENE-6043] Add backcompat support for UAX29URLEmailTokenizer before 4.7,6
1716,[LUCENE-6007] Failed attempt of downloading javax:activation javadoc,18
1722,[LUCENE-6001] DrillSideways throws NullPointerException for some searches,17
1751,[LUCENE-5968] Improve error message when 'ant beast' is run on top-level modules,11
1753,[LUCENE-5965] Make CorruptIndexException require 'resource' like TooOld/TooNew do,7
1755,[LUCENE-5963] Improved AnalyzingSuggester.replaceSep(),6
1785,"[LUCENE-5931] DirectoryReader.openIfChanged(oldReader, commit) incorrectly assumes given commit point has deletes/field updates",17
1818,[LUCENE-5892] Make CharsRefBuilder implement Appendable,10
1868,[LUCENE-5837] Only check docsWithField when necessary in numeric comparators,14
1904,[LUCENE-5796] Scorer.getChildren() can throw or hide a subscorer for some boolean queries,6
1924,[LUCENE-5775] JaspellTernarySearchTrie.ramBytesUsed hits StackOverflowError,17
2113,[LUCENE-5563] Remove sep layout,6
