id,title,count
9,Identity detection should be based on Envelope-To,6
25,X-Sender address in header from another account in Thunderbird,18
53,gmail All Mail syncs even though it is set in account settings to not sync,20
54,Unexpected changes to whether email bodies stored locally for imap account folders,6
56,Allow setting width of the account creation wizard dialog for localized versions of Thunderbird,7
80,creating news server account does not lead user to full server settings,6
99,&apos;Add account wizard&apos; should give end user instructions in case autodetection fails,23
114,Tibetan sorting doesn&apos;t work in Address Book (Windows 7).  Ability to choose font would be nice too.,10
129,Create MetaSearch rank order via Prefs for Address Autocomplete,9
153,When dragging an existing entry from Address Book to a List the complete entry is not moved,11
192,[meta][VUW 2016] Address book Ensemble Project,6
222,[am] Add Amharic localisation to Thunderbird,7
267,Filelink: Add account auto config,17
283,Cannot delete nor move messages when compact option is on,9
308,Message filters with invalid HTML body not working,6
332,Apply filter to URLs in message body,8
333,Quick filter by body doesn&apos;t find message if message stored in IMAP folder,14
344,Incorrect synchronization of moved items to IMAP server,8
370,"Enlarge click area of folder tree twisty/arrow to the left ([+][-],[>][v])",6
371,Keyboard shortcuts always inactive,6
380,"List of messages is buggy in unified folder view, especially when moving/hovering the mouse over the unified thread pane",11
390,delete messages from IMAP does not work,6
415,some .msf files get lost after Thunderbird restart,6
424,message contents disappear after deleting an imap folder,7
425,Columns  not remembered in the message list after restart (only after restart of Tb which is automatically initiated when an update is applied by Addon update). Caused by add-on/extension,12
435,threading breaks on save in Drafts folder,9
490,Thunderbird 38.1.0 lost message folders,7
544,Attachments seem to be corrupted even tho they are not.,9
571,"Code clean-up: Style nits, typos and trailing spaces - take 2",9
572,Please add Khmer (km) to Thunderbird for the release of 38,14
577,Drag and Drop Mozmill failure 2017-09-08: 7 failures (Friday bustage),21
580,TEST-UNEXPECTED-FAIL | C:slave	estuild	estsmozmillmigration-to-rdf-ui-2	est-migrate-to-rdf-ui-2.js | test-migrate-to-rdf-ui-2.js::test_width_persisted,7
587,TEST-UNEXPECTED-FAIL | /builds/slave/test/build/tests/mozmill/content-tabs/test-plugin-crashing.js | test-plugin-crashing.js::test_crashed_plugin_notification_inline,12
594,Clicking on new e-mail in the notifier may use the wrong window/tab,6
624,crash in nsDocumentViewer::OnDonePrinting @ address 0x5a5a5a5a/e5e5e5e9,12
628,Inserting image into mail causes crash @ @0x0 | CProfferService::QueryService,8
634,"tb 38.1.0 D3D11 related crash in driver for Nvidia Geforce 740M on startup when HWA, layers.acceleration and gfx.direct2d, are enabled",13
635,"ASSERTION: URI is empty: &apos;!aURI.IsEmpty()&apos;, file /TB-NEW/TB-3HG/new-src/mozilla/rdf/base/src/nsRDFService.cpp, line 884",8
642,crash in nsImapIncomingServer::GetMsgFolderFromURI [Mac],6
643,Lightning uninstalls itself on every minor Thunderbird upgrade,9
682,Add method to get standard input from command line,6
686,Extremely slow during writing operations onto a NAS since Windows 10 upgrade,10
691,Smeared Fonts and Images with ATI Radeon HD 4800,11
725,HTML text cut/copied from one composition (reply to received email message) cannot be pasted into new composition window,12
771,View Source All Indented due to Lack of Line Numbers,27
802,Thunderbird 52.2.0-1 on Arch Linux (4.11.5-1-ARCH) crashes when user clicks on a contact in the chat tab,10
818,Daily chat client should not ask for an SSL certificate when connecting to a server through SSL.,20
834,Show contacts groups for XMPP,6
835,Feature request: Quick search in chat contacts,8
871,New Message Notification pop-up window not working (but worked before),9
919,Font spongy if switching external display(s) to internal on Notebook,16
962,Activity Manager not showing failed/failing imap activity,13
995,Uncaught exceptions during Thunderbird shutdown,6
1019,compose body isn&apos;t actually ready (images not yet converted to data:) when NotifyComposeBodyReady event is triggered,10
1038,Thunderbird 24 Beta 2 does not respect reply-to header,11
