@relation rationale
@attribute sentence string
@attribute classification string
@data
'Hello Walter,\nWhich version of Ubuntu are you running?','irrelevant'
'Which version of WvDial\nare you trying to install?','irrelevant'
'Saw the same thing just now.','irrelevant'
"wvdialconf was trying to figure out what's behind my /dev/ttyS2.",'relevant'
'What actually is behind that device is a Bluetooth adapter, which confused wvdialconf.','relevant'
'So (according to strace) it did a bunch of strange things with that device, and then busy-waited forever in a select() loop.','relevant'
'This was a new edgy install.','relevant'
'It seems that wvdialconf needs a hard timeout, preferably in the shell script that calls it.','relevant'
"I got this when updating to 1.56-1.1ubuntu2 (feisty), because I'd been using my IRDA earlier, and left the ircom-tty module loaded.",'relevant'
'A agree with Matthias - it seems that wvdialconf needs timeouts.','relevant'
'OK...','irrelevant'
'I broke out of the process of wvdial setting up and got the following message:\ndpkg: error processing wvdial  (--configure):\n\xa0subprocess post-installation script killed by signal (Interrupt)\nIt then continued to setting up xfonts-base and other packages...','relevant'
'However, now there seem to be more problems.','relevant'
'Later on down:\ndpkg: dependency problems prevent configuration of ubuntu-desktop:\n\xa0ubuntu-desktop depends on wvdial; however:\n\xa0\xa0Package wvdial is not configured yet.','relevant'
"dkpg: error processing ubuntu-desktop (--configure):\n\xa0dependency problems - leaving unconfigured\nI have a feeling that that can't be good.",'relevant'
'Hi,\namadeov:\n\n> Setting up wvdial (1.56-1.1ubuntu2) ...\n>\n\n\nwvdial tries to talk to your serial ports, trying to find modems.','relevant'
"Long-standing bug, I'm afraid; I reported the same thing a year ago.",'relevant'
'--\nMatthias Urlichs   |   {M:U} IT Design @ m-u-it.de   |  \nDisclaimer: The quote was selected randomly.','irrelevant'
'Really.','irrelevant'
'| http://smurf.noris.de\n\xa0- -\nAnd the child had a permanently runny nose and ought to be provided with a\nhandkerchief or, failing that, a cork.','irrelevant'
'-- Terry Pratchett (Lords and Ladies)','irrelevant'
'Two years later, and this bug is still present in hardy heron.','relevant'
'I had to use the procedure at http://ubuntuforums.org/archive/index.php/t-254688.html to work around it.','relevant'
'Same problem upgrading from 11.04 to 11.10.','relevant'
'I have a random number generator connected to /dev/ttyUSB0.','relevant'
':)  Is that hanging it?','relevant'
"That really shouldn't happen.",'relevant'
'I killed wvdialconf and the setup continued.','relevant'
'[This is an automated message]\nHi justinkinnaird,\nPlease attach the output of `lspci -vvnn`, and attach your /var/log/Xorg.0.log file from after reproducing this issue.','irrelevant'
"If you've made any customizations to your /etc/X11/xorg.conf please attach that as well.",'irrelevant'
'Please attach the output of `lspci -vvnn` too.','irrelevant'
'Installing the svn version of openchrome on Intrepid works fine, but in Jaunty still seems to fail...','relevant'
"I'll post my xorg log when I can.",'irrelevant'
'similar problem https://bugs.launchpad.net/xserver-xorg-driver-vesa/+bug/293326?','relevant'
'Then attach Xorg.0.log\nTry use CTRL+ALT+F1, or just attach Xorg.log.old or Xorg.failsafe.log file after reboot.','relevant'
'Please again  build, install the latest openchrome version according to:\nhttps://help.ubuntu.com/community/OpenChrome','relevant'
'Try to disable DRI.','relevant'
'I created the patch which disable DRI (it use swrast instead)\nCheck if it works for you.','relevant'
'The detail build instruction for Ubuntu/Debian is available at:\nhttps://help.ubuntu.com/community/OpenChrome\nAttach your /var/log/Xorg.0.log file.','irrelevant'
"This graphics chip doesn't work with Lucid currently (it was fine in earlier versions).",'relevant'
