@relation rationale
@attribute sentence string
@attribute isIssue {0,1}
@attribute isAlternative {0,1}
@attribute isPro {0,1}
@attribute isCon {0,1}
@attribute isDecision {0,1}
@data
'Hello Walter,\nWhich version of Ubuntu are you running?',0,0,0,0,0
'Which version of WvDial\nare you trying to install?',0,0,0,0,0
'Saw the same thing just now.',0,0,0,0,0
"wvdialconf was trying to figure out what's behind my /dev/ttyS2.",1,0,0,0,0
'What actually is behind that device is a Bluetooth adapter, which confused wvdialconf.',1,0,0,0,0
'So (according to strace) it did a bunch of strange things with that device, and then busy-waited forever in a select() loop.',1,0,0,0,0
'This was a new edgy install.',1,0,0,0,0
'It seems that wvdialconf needs a hard timeout, preferably in the shell script that calls it.',0,1,0,0,0
"I got this when updating to 1.56-1.1ubuntu2 (feisty), because I'd been using my IRDA earlier, and left the ircom-tty module loaded.",1,0,0,0,0
'A agree with Matthias - it seems that wvdialconf needs timeouts.',0,1,1,0,0
'OK...',0,0,0,0,0
'I broke out of the process of wvdial setting up and got the following message:\ndpkg: error processing wvdial  (--configure):\n\xa0subprocess post-installation script killed by signal (Interrupt)\nIt then continued to setting up xfonts-base and other packages...',1,0,0,0,0
'However, now there seem to be more problems.',1,0,0,0,0
'Later on down:\ndpkg: dependency problems prevent configuration of ubuntu-desktop:\n\xa0ubuntu-desktop depends on wvdial; however:\n\xa0\xa0Package wvdial is not configured yet.',1,0,0,0,0
"dkpg: error processing ubuntu-desktop (--configure):\n\xa0dependency problems - leaving unconfigured\nI have a feeling that that can't be good.",1,0,0,0,0
'Hi,\namadeov:\n\n> Setting up wvdial (1.56-1.1ubuntu2) ...\n>\n\n\nwvdial tries to talk to your serial ports, trying to find modems.',1,0,0,0,0
"Long-standing bug, I'm afraid; I reported the same thing a year ago.",1,0,0,0,0
'--\nMatthias Urlichs   |   {M:U} IT Design @ m-u-it.de   |  \nDisclaimer: The quote was selected randomly.',0,0,0,0,0
'Really.',0,0,0,0,0
'| http://smurf.noris.de\n\xa0- -\nAnd the child had a permanently runny nose and ought to be provided with a\nhandkerchief or, failing that, a cork.',0,0,0,0,0
'-- Terry Pratchett (Lords and Ladies)',0,0,0,0,0
'Two years later, and this bug is still present in hardy heron.',1,0,0,0,0
'I had to use the procedure at http://ubuntuforums.org/archive/index.php/t-254688.html to work around it.',0,1,0,0,0
'Same problem upgrading from 11.04 to 11.10.',1,0,0,0,0
'I have a random number generator connected to /dev/ttyUSB0.',1,0,0,0,0
':)  Is that hanging it?',1,0,0,0,0
"That really shouldn't happen.",1,0,0,0,0
'I killed wvdialconf and the setup continued.',0,1,0,0,0
'[This is an automated message]\nHi justinkinnaird,\nPlease attach the output of `lspci -vvnn`, and attach your /var/log/Xorg.0.log file from after reproducing this issue.',0,0,0,0,0
"If you've made any customizations to your /etc/X11/xorg.conf please attach that as well.",0,0,0,0,0
'Please attach the output of `lspci -vvnn` too.',0,0,0,0,0
'Installing the svn version of openchrome on Intrepid works fine, but in Jaunty still seems to fail...',1,0,0,0,0
"I'll post my xorg log when I can.",0,0,0,0,0
'similar problem https://bugs.launchpad.net/xserver-xorg-driver-vesa/+bug/293326?',1,0,0,0,0
'Then attach Xorg.0.log\nTry use CTRL+ALT+F1, or just attach Xorg.log.old or Xorg.failsafe.log file after reboot.',0,1,0,0,0
'Please again  build, install the latest openchrome version according to:\nhttps://help.ubuntu.com/community/OpenChrome',0,1,0,0,0
'Try to disable DRI.',0,1,0,0,0
'I created the patch which disable DRI (it use swrast instead)\nCheck if it works for you.',0,1,0,0,0
'The detail build instruction for Ubuntu/Debian is available at:\nhttps://help.ubuntu.com/community/OpenChrome\nAttach your /var/log/Xorg.0.log file.',0,0,0,0,0
"This graphics chip doesn't work with Lucid currently (it was fine in earlier versions).",1,0,0,0,0
'On the current kernels (2.6.32-16-generic and 2.6.32-17-generic), I am unable to boot.',1,0,0,0,0
"Using the old kernel (2.6.31-19-generic), Ubuntu can boot but running 'startx' makes the system hang.",1,0,0,0,0
'Using vesa always fails.',1,0,0,0,0
'Will try disabling DRI.',0,1,0,0,0
'Disabling DRI did it for me, but only using the old (Karmic) kernel.',0,1,1,0,0
'Including the (very minimal) configuration file for Teknics.',0,0,0,0,0
"### Trying to test Ubuntu GNOME 13.10 (Saucy Salamander) Beta 1\nI can't install Ubuntu GNOME 13.10 (Saucy Salamander) Beta 1 because X will not work with my graphics card.",1,0,0,0,0
'When I boot from the DVD, I see a screen that says Ubuntu 13.10, with a row of scrolling dots under it.',1,0,0,0,0
'I expect this to happen and then for an xsession to start with the installer dialogue.',0,0,0,0,0
'After a while, the screen goes blank and I Have to swith to a different TTY.',1,0,0,0,0
'At the different TTY I can see login text, so I can only assume that X has failed to start the graphical session for my VGA card, which lspci identifies as:\nVGA compatible controller: VIA Technologies, Inc. KM400/KN400/P4M800 [S3 UniChrome] (rev 01)\nI would really like to test the new beta release, and especially the new Mir stuff.',1,0,0,0,0
"Please let me know if I can provide information to help with this bug, and in the meantime, i'll look for a workround.",0,0,0,0,0
'Many thanks,\nChris.',0,0,0,0,0
'my result of sort -u x.sorted.utf8 > x.sorted.uniq.utf8\nI do this in lucid and natty, got the same problem.',1,0,0,0,0
'my x.diff file, sort -u erase 686 chinese characters.',0,0,0,0,0
